shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum,dist_to_center
3027736,台湾手抓饼,121.478076,31.23214,35.0,10.0,小吃,food,570025.0,美食,8.0,5.261374695361126
17146308,嵩山牛肉面,121.476,31.22199,35.0,10.0,新疆菜,food,17146308.0,美食,37.0,10.81758140041077
4114399,绝味鸭脖,121.470123,31.286489000000003,35.0,10.0,熟食,food,2562220.0,美食,6.0,3.5212328729745552
65091567,SMILE DESSEERT,121.483737,31.402033000000003,30.0,10.0,其他中餐,food,65091567.0,美食,0.0,7.240734246821948
65598693,浏阳蒸菜,121.41338999999999,31.012496000000002,35.0,10.0,湘菜,food,65598693.0,美食,1.0,3.064503346187487
14938683,重庆鸡公煲,121.45504199999999,30.905766999999997,35.0,10.0,川菜/家常菜,food,14938683.0,美食,1.0,5.81667318185814
44347403,重庆麻辣烫,121.61745900000001,30.899955,0.0,10.0,麻辣烫,food,44347403.0,美食,0.0,5.635511982765539
21351979,七欣天品蟹轩,121.51482299999999,31.228215999999996,40.0,10.0,火锅,food,4092595.0,美食,1938.0,6.987091591708689
32765154,豪大大香鸡排,121.40885,31.04697,35.0,10.0,小吃,food,32765154.0,美食,6.0,0.5899270718884347
8044743,一品香锅,121.518327,31.228203000000004,35.0,10.0,香锅,food,8044743.0,美食,84.0,0.7564100380521788
91584423,麻辣砂锅,121.510121,31.196973,35.0,10.0,快餐简餐,food,91584423.0,美食,2.0,
57782254,蜀味冒菜,121.39573999999999,31.234828999999998,35.0,10.0,小吃快餐,food,57782254.0,美食,2.0,4.665863786901058
91685349,米灵顿立食牛排,121.21798999999999,31.037247999999998,30.0,10.0,牛排,food,69254658.0,美食,0.0,
23966182,山丘茶餐厅,121.41406,31.26995,35.0,10.0,茶餐厅,food,23966182.0,美食,7523.0,7.207662079147705
3367312,新招鲜巫山烤鱼,121.56681,31.244506,35.0,10.0,烤鱼,food,2328286.0,美食,401.0,2.8167784088148946
91058149,馍都,121.581659,31.23905,35.0,10.0,小吃,food,91058149.0,美食,19.0,
69132333,NICE TO MEAT U 首尔炭火烤肉,121.45143799999998,31.281602000000003,35.0,10.0,烧烤,food,69132333.0,美食,215.0,1.763496815176215
67960150,宝岛大药房,121.40205,31.247179,35.0,10.0,其他,food,67960150.0,美食,1.0,1.5524606368985383
23073604,Aza Aza！芝心年糕料理,121.58712,31.27153,40.0,10.0,韩国料理,food,23073604.0,美食,2106.0,5.801690190540856
22788368,海鲜鱼市SEAFOOD WHARF,121.44325,31.20056,45.0,10.0,自助餐,food,9946587.0,美食,2441.0,5.507316572242778
4227815,SISTERS Bar & Restaurant,121.460599,31.207359000000004,45.0,10.0,意大利菜,food,4227815.0,美食,521.0,5.957228498993924
23656188,八公山牛肉面,121.26068987728644,31.11794973485301,40.0,10.0,快餐简餐,food,57229606.0,美食,186.0,2.1282325878442947
80985149,我是一只炸鸡,121.492103,31.224534999999996,30.0,10.0,快餐简餐,food,80985149.0,美食,0.0,3.8964539177984427
77026545,STARBUCKSCOFFEE,121.56306582201036,31.207390677678703,35.0,10.0,咖啡厅,food,77026545.0,美食,2.0,1.388634576813161
18225836,新鼎旺牛奶棚,121.53225,31.312072999999998,35.0,10.0,面包甜点,food,18225836.0,美食,307.0,4.291510126622376
13819555,日日红美食林,121.311898,31.062314,30.0,10.0,快餐简餐,food,13819555.0,美食,16.0,2.768149077507014
45545778,丸初章鱼君,121.463141,30.930228999999997,35.0,10.0,小吃,food,45545778.0,美食,26.0,0.8245911837142202
46949224,MONCEAU 茉颂花艺主题餐厅,121.45031000000002,31.224259999999997,35.0,10.0,法国菜,food,23967223.0,美食,1491.0,5.697327537032802
66887194,Missoo蜜芍,121.430704,31.203995000000003,40.0,10.0,冰淇淋,food,75124659.0,美食,429.0,2.9715362470630433
21012806,哈尔滨烧烤,121.32695700000001,30.732112,35.0,10.0,烧烤,food,21012806.0,美食,32.0,1.8351920427828408
66802369,避风塘,121.278516,31.386502,40.0,10.0,粤菜馆,food,500067.0,美食,338.0,5.321737172744
19595075,满来日本料理,121.401329,31.20944,45.0,10.0,日本料理,food,19595075.0,美食,2199.0,5.256734165455136
38066188,九鲤千里香馄饨,121.44258400000001,31.231966999999997,30.0,10.0,馄饨,food,38066188.0,美食,13.0,2.8140888040458583
18203297,马玉涛麻辣烫,121.48631,30.91483,35.0,10.0,麻辣烫,food,18203297.0,美食,17.0,4.871530226279008
69618219,吉祥馄饨,121.36397,31.182209999999998,35.0,10.0,馄饨,food,69618219.0,美食,17.0,1.31264660963064
66501417,一锅一贴,121.22916000000001,31.005784999999996,35.0,10.0,锅贴,food,38787252.0,美食,221.0,5.177811986969255
69222927,渔湘荟,121.413924,31.272483,45.0,10.0,湘菜,food,69222927.0,美食,320.0,2.3045765457600753
5348240,香港天龙行大闸蟹,121.4316,31.230890000000002,40.0,10.0,蟹宴,food,5348240.0,美食,310.0,2.324699540939131
74596945,泰湘恋,121.27852,31.386229999999998,35.0,10.0,东南亚菜,food,74596945.0,美食,32.0,4.316732665638904
19433489,苏州藏书羊肉馆,121.42841000000001,31.360609999999998,35.0,10.0,本帮江浙菜,food,19433489.0,美食,2.0,1.7328281701904666
22914888,山城老灶火锅,121.48521000000001,31.24853,40.0,10.0,重庆火锅,food,19777623.0,美食,1195.0,8.15386258288648
4677920,西贝莜面村,121.37826799999999,31.107802000000003,45.0,10.0,西北菜,food,2804128.0,美食,8362.0,6.856635917674448
66329920,spring寿司,121.206947,31.049714,35.0,10.0,寿司/简餐,food,66329920.0,美食,4.0,2.493857492272753
2396740,上海唐朝酒店,121.22658799999999,31.316944,30.0,10.0,粤菜馆,food,2396740.0,美食,230.0,5.899146755363498
21413152,小乔治咖啡馆,121.41498999999999,31.207420000000003,45.0,10.0,西餐,food,21413152.0,美食,856.0,2.898320295042039
80487127,成都饭馆,121.21085,31.264390000000002,0.0,10.0,快餐简餐,food,80487127.0,美食,0.0,3.6470950458017324
