shopId,shopName,shopGlat,shopGlng,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,price,comNum
11571118,凯福来酒家,31.22451,121.41995,35,10,本帮菜,food,11571118,美食,64,35
11571127,快乐柠檬,30.91534,121.48397,35,10,饮品,food,1917097,美食,12,48
11571188,斯比特花园·意大利餐厅,31.235206,121.413039,45,10,意大利菜,food,4544133,美食,121,17195
11573457,甜蜜烘坊,31.114535,121.270917,35,10,面包甜点,food,11573457,美食,10,6
11573557,月半湾,31.195235,121.697892,35,10,本帮江浙菜,food,11573557,美食,75,1809
11573982,赛百味,31.21457,121.43322,35,10,西式简餐,food,501242,美食,25,330
11574657,枫泾梅花糕,30.8893,121.01662,30,10,快餐简餐,food,11574657,美食,3,23
11574659,枫泾方糕,30.88513,121.0154,35,10,西式甜点,food,11574659,美食,-,1
11575857,传世卤肉卷,31.109326,121.386361,35,10,小吃,food,11575857,美食,10,245
11576557,润丰园汤包馆,31.149155,121.315268,30,10,快餐简餐,food,11576557,美食,17,75
11576566,COFFEE YANG,31.1393,121.3862,35,10,咖啡厅,food,11576566,美食,43,221
11576677,赤坂亭 炭火烧肉+铁板烧,31.234216,121.412691,35,10,日式烧烤/铁板烧,food,506809,美食,239,5477
11576843,香巴岛龙虾,31.1456699999501,121.38440222241,35,10,小龙虾,food,11576843,美食,80,27
11577586,秀寿司,31.202048,121.483266,45,10,寿司/简餐,food,4732918,美食,99,692
11578456,绿豆酥,31.13348531,121.4016692,0,10,小吃,food,3639868,美食,11,1
11578479,牛井,31.21141,121.40481,35,10,快餐简餐,food,11578479,美食,-,2
11578975,川中故事,31.14356,121.525919,40,10,火锅,food,3875821,美食,104,2150
11579908,一碗面两个人,31.159487,121.502532,35,10,小吃快餐,food,11579908,美食,-,2
11579970,超级鸡车,31.31168,121.53211,35,10,小吃,food,4215903,美食,18,140
11581615,麦当劳,31.39287,121.4241,35,10,快餐简餐,food,2010103,美食,23,194
11581750,Mex&Co低卡健康餐,31.222235,121.443872,40,10,快餐简餐,food,69410496,美食,38,362
11581778,嘉嘉桂林米粉,31.231657,121.486722,35,10,米粉,food,11581778,美食,15,60
11955222,麻小麻辣诱惑,31.27487,121.452613,45,10,小龙虾,food,2883661,美食,121,5910
12082693,土司新语,31.232962,121.412595,30,10,东南亚菜,food,8063624,美食,48,2574
12277741,哈根达斯,31.233551056606025,121.41277735854815,35,10,冰淇淋,food,501168,美食,67,913
12284011,Paris Baguette巴黎贝甜,31.232485,121.412448,35,10,西式甜点,food,504962,美食,35,919
12286664,寶珠奶酪,31.231538,121.411276,45,10,港台甜品,food,4100052,美食,31,3278
12286676,星巴克,31.23282,121.411949,40,10,星巴克,food,1889797,美食,39,889
12590398,炫多香卤饭,31.240727,121.541924,35,10,快餐简餐,food,12590398,美食,11,8
12591604,湘满楼,31.018682,121.23897,35,10,湘菜,food,12591604,美食,54,10
12591711,港丽餐厅,31.21564,121.4582,40,10,茶餐厅,food,505910,美食,99,2451
12591965,PONY,31.270586,121.477503,45,10,面包甜点,food,501934,美食,46,2729
12592301,渝江饭店金字号,31.28747,121.55542,35,10,川菜/家常菜,food,12592301,美食,59,15
12592485,DAKASI tea,31.232655,121.412029,35,10,饮品,food,2835238,美食,17,569
12592843,CoCo都可茶饮,31.337083,121.586149,35,10,饮品,food,2444533,美食,10,31
12592848,太平洋咖啡,31.232962,121.412595,35,10,咖啡厅,food,1892647,美食,38,712
12593092,品佳骨头王火锅小龙虾,31.063082,121.52671,35,10,火锅,food,12593092,美食,75,97
12593305,天家·金枪鱼世家,31.232962,121.412595,35,10,日本料理,food,582438,美食,167,3405
12594476,Gelato Pique Cafe,31.22909,121.45728,45,10,西餐,food,12594476,美食,114,1240
12596966,炭香园自助烧烤,31.01248,121.22785,45,10,自助餐,food,12596966,美食,52,686
